0 98998964
0 38713901
0 28349797
0 15525364
0 13703243
0 11669377
0 10940996
0 10284328
0 7700516
0 7275751
0 6814916
0 6723471
0 6533790
0 6097780
0 5487365
0 4677935
0 4112713
0 3280156
0 3021944
0 2453540
0 2325389
0 1897229
0 1702244
0 1627772
0 879659
0 793518
0 156157
3.99 2121493
3.99 604262
4.99 3589288
6.99 755115
9.99 12814249
9.99 12640269
9.99 8233276
9.99 4489315
9.99 3307738
14.99 28086069
14.99 5665589
14.99 2864302
14.99 2624973
14.99 2333875
14.99 1882589
14.99 1739374
19.79 1772260
19.99 15603230
19.99 14838780
19.99 11066176
19.99 8767521
19.99 7551360
19.99 6987411
19.99 5330996
19.99 5186932
19.99 5148953
19.99 4009386
19.99 2756731
19.99 2635582
19.99 2504885
19.99 2069299
19.99 1772260
19.99 1385685
19.99 59047
20 801156
23.99 911484
24.99 5368126
24.99 2180052
24.99 2103458
24.99 771028
29.99 9620659
29.99 4701486
29.99 3195075
29.99 2228002
29.99 1491134
29.99 1184336
29.99 1104772
29.99 965164
29.99 612748
34.99 3491478
34.99 329925
39.99 5641826
39.99 2973145
39.99 2839902
39.99 1683361
39.99 1364681
39.99 1164179
39.99 552492
44.99 907878
49.99 1135749
49.99 1091193
49.99 781212
59.95 2382887
59.99 6899360
59.99 3997292
59.99 2962112
59.99 1790082
59.99 1444032
59.99 1378047
59.99 413945
59.99 196258
59.99 32844
59.99 21896
59.99 19159
